"shortnam","baseco","logpgp95","avexpr","logem4","asia","africa","lat_abst","meantemp","humid","malfal94","f_brit","f_french"
"STP",NA,NA,8.40909099578857,NA,0,0,0.0111111113801599,NA,58.5,NA,0,0
"SUR",NA,8.01000022888184,4.68181800842285,3.47134518623352,0,0,0.0444444455206394,NA,81.25,0.246999993920326,0,0
"SVK",NA,8.85223579406738,NA,NA,0,0,0.537777781486511,NA,74.25,0,0,0
"SVN",NA,9.30018138885498,NA,NA,0,0,0.51111114025116,NA,NA,0,0,0
"SWE",NA,9.86630439758301,9.5,NA,0,0,0.688888907432556,NA,73.5,0,0,0
"SWZ",NA,8.10772037506104,NA,NA,0,1,0.292222201824188,NA,NA,0.854999959468842,1,0
"SYR",NA,8.02943325042725,5.81818199157715,NA,1,0,0.388888895511627,NA,50.5,0.0979999974370003,0,1
"TCD",NA,6.8351845741272,NA,5.63478946685791,0,1,0.16666667163372,NA,51.75,0.940500020980835,0,1
"TGO",1,7.2225661277771,6.90909099578857,6.50428819656372,0,1,0.0888888910412788,26.7999992370605,82.5,0.949999988079071,0,1
"THA",NA,8.77493095397949,7.63636350631714,4.94164228439331,1,0,0.16666667163372,NA,76.75,0.35615998506546,0,0
"TJK",NA,6.8875527381897,NA,NA,1,0,0.433333337306976,NA,59,0,0,0
"TKM",NA,7.64012336730957,NA,NA,1,0,0.444444447755814,NA,59.75,0,0,0
"TTO",1,8.76873016357422,7.45454549789429,4.44265127182007,0,0,0.122222222387791,25.8999996185303,77.25,0,1,0
"TUN",1,8.4826021194458,6.45454549789429,4.14313459396362,0,1,0.37777778506279,19.6000003814697,65.5,0,0,1
"TUR",NA,8.64117908477783,7.45454549789429,NA,1,0,0.433333337306976,NA,59,0,0,0
"TWN",NA,NA,9.22727298736572,NA,1,0,NA,NA,80,0,NA,NA
"TZA",1,6.25382900238037,6.63636350631714,5.63478946685791,0,1,0.0666666701436043,25.0902404785156,61.5,0.921500027179718,0,0
"UGA",1,6.96602439880371,4.45454549789429,5.63478946685791,0,1,0.0111111113801599,21.5743198394775,73.25,0.949999988079071,1,0
"UKR",NA,7.81197357177734,NA,NA,0,0,0.544444441795349,NA,73.75,0,0,0
"URY",1,9.03121376037598,7,4.26268005371094,0,0,0.366666674613953,18.3999996185303,70.75,0,0,0
"USA",1,10.2157402038574,10,2.70805025100708,0,0,0.422222226858139,11.1999998092651,64.75,0,1,0
"UZB",NA,7.80791664123535,NA,NA,1,0,0.455555558204651,NA,59.75,0,0,0
"VEN",1,9.07107830047607,7.13636350631714,4.35799026489258,0,0,0.0888888910412788,24.7999992370605,71.25,0.00704000005498528,0,0
"VNM",1,7.27931880950928,6.40909099578857,4.94164228439331,1,0,0.177777782082558,25.5571403503418,75,0.701099991798401,0,1
"YEM",NA,6.64639043807983,6.36363649368286,NA,1,0,0.16666667163372,NA,65.75,0.767880022525787,0,0
"YUG",NA,NA,6.31818199157715,NA,0,0,0.488888889551163,NA,NA,0,0,0
"ZAF",1,8.88599395751953,6.86363649368286,2.74083995819092,0,1,0.322222232818604,17.7000007629395,70.75,0.104499995708466,1,0
"ZAR",1,6.86693334579468,3.5,5.48063898086548,0,1,0,23.354549407959,79.25,0.949999988079071,0,0
"ZMB",NA,6.8134446144104,6.63636350631714,NA,0,1,0.16666667163372,NA,53.5,0.949999988079071,1,0
"ZWE",NA,7.69621276855469,6,NA,0,1,0.222222223877907,NA,50.75,0.607999980449677,1,0
